Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",71.704200,-72.999600,0.000000,bottom
"C2","0.47uF","C_0603_1608Metric",99.600000,-95.800000,180.000000,bottom
"C3","4.7uF","C_0603_1608Metric",99.200000,-105.300000,180.000000,bottom
"C4","22uF","C_0603_1608Metric",102.000000,-94.900000,90.000000,bottom
"C5","0.1uF","C_0603_1608Metric",87.900000,-101.300000,0.000000,bottom
"C6","1uF","C_0603_1608Metric",95.500000,-96.600000,-90.000000,bottom
"C7","0.1uF","C_0603_1608Metric",86.500000,-107.700000,0.000000,bottom
"C8","0.1uF","C_0603_1608Metric",83.300000,-105.200000,-90.000000,bottom
"C9","1uF","C_0603_1608Metric",80.600000,-105.200000,-90.000000,bottom
"C25","0.1uF","C_0603_1608Metric",71.200000,-107.000000,0.000000,bottom
"C26","0.1uF","C_0603_1608Metric",65.200000,-68.300000,-90.000000,bottom
"C27","0.1uF","C_0603_1608Metric",65.200000,-72.100000,90.000000,bottom
"C28","0.1uF","C_0603_1608Metric",72.500000,-97.500000,-90.000000,bottom
"C29","0.1uF","C_0603_1608Metric",73.100000,-105.400000,180.000000,bottom
"C30","0.1uF","C_0603_1608Metric",63.800000,-76.400000,90.000000,bottom
"C31","0.1uF","C_0603_1608Metric",65.600000,-88.000000,90.000000,bottom
"C32","0.1uF","C_0603_1608Metric",62.100000,-79.300000,0.000000,bottom
"D1","D_Schottky","Nexperia_CFP3_SOD-123W",101.400000,-109.200000,0.000000,bottom
"D2","D_Schottky","Nexperia_CFP3_SOD-123W",82.250000,-101.961925,0.000000,bottom
"L1","15uH","IND_TAIYO_NRS4018_TAY",96.475000,-100.911925,90.000000,bottom
"R3","10k","R_0603_1608Metric",104.100000,-104.200000,-90.000000,bottom
"R4","215k","R_0603_1608Metric",104.700000,-96.600000,90.000000,bottom
"R5","12k","R_0603_1608Metric",103.300000,-106.700000,180.000000,bottom
"R6","400","R_0603_1608Metric",90.700000,-108.600000,0.000000,bottom
"R16","1.1k","R_0603_1608Metric",62.000000,-100.900000,-90.000000,bottom
"R17","1.1k","R_0603_1608Metric",55.600000,-100.900000,-90.000000,bottom
"R18","2k","R_0603_1608Metric",60.400000,-100.900000,90.000000,bottom
"R19","2k","R_0603_1608Metric",54.000000,-100.900000,90.000000,bottom
"R20","60","R_0603_1608Metric",67.000000,-76.400000,-90.000000,bottom
"R21","60","R_0603_1608Metric",65.400000,-76.400000,90.000000,bottom
"R22","1.1k","R_0603_1608Metric",58.800000,-97.800000,-90.000000,bottom
"R23","2k","R_0603_1608Metric",57.200000,-97.800000,90.000000,bottom
"U2","LT3973EMSE-5-PBF","LT3973EMSE-5#PBF",101.400000,-99.911925,90.000000,bottom
"U3","TPS2115ADRBR","TPS2115ADRBR",88.925000,-104.636925,180.000000,bottom
"U4","LDL1117S50R_","LDL1117S50R_",89.100000,-96.200000,0.000000,bottom
"U6","74LVC4245APW_118","74LVC4245APW_118",67.200000,-101.200000,90.000000,bottom
"U7","RCLAMP3354S_TCT","RCLAMP3354S_TCT",82.400000,-70.600000,90.000000,bottom
"U8","ATA6561-GAQW-N","ATA6561-GAQW-N",66.200000,-82.400000,90.000000,bottom
"BT1","Battery_Cell","BatteryHolder_LINX_BAT-HLD-012-SMT",89.600000,-104.000000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",121.900000,-99.100000,0.000000,top
"C11","0.1uF","C_0603_1608Metric",107.800000,-109.000000,90.000000,top
"C12","0.1uF","C_0603_1608Metric",120.580000,-109.000000,90.000000,top
"C13","0.1uF","C_0603_1608Metric",111.000000,-112.100000,90.000000,top
"C14","0.1uF","C_0603_1608Metric",123.800000,-112.100000,90.000000,top
"C15","1uF","C_0603_1608Metric",123.600000,-102.600000,90.000000,top
"C16","0.1uF","C_0603_1608Metric",126.500000,-102.600000,90.000000,top
"C17","0.1uF","C_0603_1608Metric",114.180000,-109.000000,90.000000,top
"C18","0.1uF","C_0603_1608Metric",127.000000,-109.000000,90.000000,top
"C19","1uF","C_0603_1608Metric",109.090000,-101.700000,-90.000000,top
"C20","0.1uF","C_0603_1608Metric",111.600000,-101.700000,90.000000,top
"C21","0.1uF","C_0603_1608Metric",121.300000,-104.000000,90.000000,top
"C22","0.1uF","C_0603_1608Metric",117.380000,-112.100000,90.000000,top
"C23","0.1uF","C_0603_1608Metric",130.200000,-112.100000,90.000000,top
"C24","0.1uF","C_0603_1608Metric",111.700000,-97.500000,180.000000,top
"C33","0.1uF","C_0603_1608Metric",56.400000,-92.100000,180.000000,top
"IC1","AD7175-8BCPZ-RL7","AD7175-8BCPZ-RL7",116.600000,-102.550000,180.000000,top
"J1","2-84952-0","c-2-84952-0-a-3d",75.750003,-119.469900,180.000000,top
"J2","2-84952-4","c-2-84952-4-a-3d",107.949999,-119.544900,180.000000,top
"J3","FH41-15S-0.5SH_05_","FH4115S05SH05",56.925000,-83.675000,-90.000000,top
"R1","47","R_0603_1608Metric",76.352400,-110.477800,180.000000,top
"R2","47","R_0603_1608Metric",76.352400,-112.001800,0.000000,top
"R7","2.2k","R_0603_1608Metric",106.200000,-109.000000,-90.000000,top
"R8","2.2k","R_0603_1608Metric",118.980000,-109.000000,-90.000000,top
"R9","2.2k","R_0603_1608Metric",109.400000,-112.100000,-90.000000,top
"R10","2.2k","R_0603_1608Metric",122.200000,-112.100000,-90.000000,top
"R11","2.2k","R_0603_1608Metric",112.600000,-109.000000,-90.000000,top
"R12","2.2k","R_0603_1608Metric",125.400000,-109.000000,-90.000000,top
"R13","2.2k","R_0603_1608Metric",115.780000,-112.100000,-90.000000,top
"R14","2.2k","R_0603_1608Metric",128.600000,-112.100000,-90.000000,top
"R15","10k","R_0603_1608Metric",114.900000,-95.200000,0.000000,top
"R24","10k","R_0603_1608Metric",76.000000,-103.500000,90.000000,top
"U5","PT61018PEL","SOIC_PT61018PEL",65.200000,-70.200000,-90.000000,top
