Designator,Mid X,Mid Y,Layer,Rotation
C1,76.096850,47.493151,T,-90.000000
C2,69.225000,43.445000,T,0.000000
C3,68.375000,40.125000,T,0.000000
C4,66.925000,33.225000,T,90.000000
C5,70.675000,37.325000,T,-90.000000
C6,64.185000,40.070000,T,-90.000000
C7,65.675000,46.325000,T,90.000000
C8,62.725000,43.925000,T,-90.000000
C9,37.425000,5.575000,T,90.000000
C10,30.525000,29.295000,T,90.000000
C11,34.225000,39.675000,T,180.000000
C12,33.575000,29.775000,T,180.000000
C13,11.960000,34.775000,T,180.000000
C14,17.225000,45.795000,T,90.000000
C15,21.562500,41.687500,T,90.000000
C16,19.102500,37.047500,T,180.000000
C17,25.322500,35.207500,T,180.000000
C18,25.332500,41.425000,T,0.000000
C19,25.955000,20.525000,T,0.000000
C20,63.175000,28.612500,T,0.000000
C21,20.200000,48.695000,T,-90.000000
C22,26.075000,48.695000,T,-90.000000
C23,31.175000,46.675000,T,180.000000
C24,34.325000,46.775000,T,0.000000
C25,70.417500,27.225000,T,0.000000
C26,76.070000,28.835000,T,90.000000
C27,27.425000,16.370000,T,-90.000000
C28,14.580000,33.040000,T,0.000000
C29,12.975000,19.275000,T,0.000000
C30,20.745000,30.940000,T,180.000000
C31,21.285000,24.895000,T,-90.000000
C32,26.950000,30.940000,T,180.000000
C33,22.875000,28.725000,T,90.000000
C34,31.025000,11.825000,T,180.000000
C35,34.195000,11.825000,T,0.000000
C36,77.025000,41.975000,T,-90.000000
C37,73.725000,26.125000,T,0.000000
C38,33.570002,28.055000,T,180.000000
Cb1,76.125000,45.025000,T,90.000000
L1,72.775000,41.675000,T,180.000000
R1,60.875000,53.725000,T,180.000000
R2,68.725000,47.475000,T,90.000000
R3,66.125000,48.725000,T,180.000000
R4,64.215000,36.260000,T,90.000000
R5,61.875000,46.275000,T,90.000000
R6,58.875000,46.275000,T,-90.000000
R7,26.600000,51.525000,T,-90.000000
R8,10.635000,53.625000,T,-90.000000
R9,21.052500,39.557500,T,0.000000
R10,28.425000,41.475000,T,0.000000
R11,18.675000,17.825000,T,-90.000000
R12,77.542500,38.850000,T,180.000000
R13,17.975000,42.125000,T,0.000000
R14,15.725000,53.625000,T,-90.000000
R15,16.235000,51.225000,T,0.000000
R16,11.145000,51.225000,T,180.000000
R17,73.675000,34.525000,T,-90.000000
R18,76.070000,31.225000,T,-90.000000
R19,15.725000,15.625000,T,90.000000
R20,10.625000,15.625000,T,90.000000
R21,16.235000,18.075000,T,0.000000
R22,10.115000,18.075000,T,0.000000
R23,18.025000,30.940000,T,0.000000
R24,19.315000,27.290000,T,0.000000
R25,27.430000,25.140000,T,-90.000000
R26,76.975000,34.525000,T,-90.000000
