Item # ,Designator,DNP,Qty,Manufacturer,LCSC,Mfg Part #,Description/Value,Package/Footprint,Type
1,U1,,1,MaxLinear,C9055,SPX3819M5-L-3-3/TR,IC REG LINEAR 3.3V 500MA SOT23-5,SOT-23-5,SMD
2,U2,DNP,,,,,,,
3,U3,DNP,,,,,,,
4,U4,DNP,,,,,,,
5,J1,DNP,,,,,,,
6,J2,DNP,,,,,,,
7,J3,DNP,,,,,,,
8,IC1,,1,STMicroelectronics,C81720,STM32F072CBT6,IC MCU 32BIT 128KB FLASH 48LQFP,48-LQFP,SMD 
9,IC2,,1,Texas Instruments,C3716101,TMAG5170A2QDGKR,SEN HALL EFFECT SPI 8-VSSOP,8-VSSOP,SMD
10,IC3,,1,Texas Instruments,C2671658,TCAN1042GVDRQ1,IC TXRX 8-SOIC,8-SOIC,SMD
11,D1,,1,Diodes Incorporated,C124198,B0520WS-7-F,DIODE SCHOTTKY 20V 500MA SOD323,SOD-323,SMD
12,D2,,1,Bourns,C404012,CDSOT23-SM712,TVS DIODE 12VWM 7VWM SOT23-3,SOT-23-3,SMD
13,D3,,1,Lite-On,C364551,LTST-C281KGKT-5A,LED GREEN CLEAR 0402 SMD,0402 (1005 Metric),SMD
14,"R1, R7, R8",,3,Stackpole Electronics Inc,C6111655,RMCF0402FT10K0,RES 10K OHM 1% 1/16W 0402,0402 (1005 Metric),SMD
15,"R2, R3",,2,YAGEO,C163437,RC0402JR-0762RL,RES 62 OHM 5% 1/16W 0402,0402 (1005 Metric),SMD
16,"R4, R5",,2,YAGEO,C105872,RC0402FR-075K1L,RES 5.1K OHM 1% 1/16W 0402,0402 (1005 Metric),SMD
17,R6,,1,YAGEO,C105875,RC0402FR-07330RL,RES 330 OHM 1% 1/16W 0402,0402 (1005 Metric),SMD
18,C1,,1,KEMET,C1513170,C0402C103K5RECAUTO,CAP CER 0402 10NF 50V X7R 10%,0402 (1005 Metric),SMD
19,C2,,1,TDK,C2182550,C1005X5R1E105K050BC,CAP CER 1UF 25V X5R 0402,0402 (1005 Metric),SMD
20,C3,,1,Murata Electronics,C385032,GRM155R61E225KE11D,CAP CER 2.2UF 25V X5R 0402,0402 (1005 Metric),SMD
21,"C4, C5, C8, C9, C12, C13, C14, C17",,8,YAGEO,C60474,CC0402KRX7R7BB104,CAP CER 0.1UF 16V X7R 0402,0402 (1005 Metric),SMD
22,"C6, C7, C10, C11",,4,Samsung Electro-Mechanics,C318563,CL05A475MO5NUNC,CAP CER 4.7UF 16V X5R 0402,0402 (1005 Metric),SMD
23,C15,,1,Murata Electronics,C1518204,GRM1555C1H472JE01D,CAP CER 4700PF 50V C0G/NP0 0402,0402 (1005 Metric),SMD
24,C16,,1,Murata Electronics,C161520,GRM1555C1H100FA01D,CAP CER 10PF 50V C0G/NP0 0402,0402 (1005 Metric),SMD
