Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0402_1005Metric,181.45,-61.1,180.0,bottom
C10,4.7uF,C_0402_1005Metric,177.15,-59.9,90.0,bottom
C11,4.7uF,C_0402_1005Metric,181.200001,-63.899999,0.0,bottom
C12,100nF,C_0402_1005Metric,180.27,-65.35,180.0,top
C13,100nF,C_0402_1005Metric,176.1,-59.9,90.0,bottom
C14,100nF,C_0402_1005Metric,169.625,-63.125,0.0,bottom
C15,4.7nF,C_0402_1005Metric,166.945,-59.95,180.0,top
C16,10pF,C_0402_1005Metric,184.25,-62.65,90.0,top
C17,100nF,C_0402_1005Metric,170.35,-66.97,90.0,bottom
C2,1uF,C_0402_1005Metric,179.950001,-55.42365,90.0,bottom
C3,2.2uF,C_0402_1005Metric,179.5,-61.1,180.0,bottom
C4,100nF,C_0402_1005Metric,181.200001,-65.199999,0.0,bottom
C5,100nF,C_0402_1005Metric,182.65,-71.2,0.0,bottom
C6,4.7uF,C_0402_1005Metric,180.95,-73.7,90.0,bottom
C7,4.7uF,C_0402_1005Metric,171.15,-65.35,0.0,bottom
C8,100nF,C_0402_1005Metric,171.800001,-73.749999,180.0,bottom
C9,100nF,C_0402_1005Metric,179.000001,-62.699999,270.0,bottom
D1,D_Schottky,D_SOD-323,165.55,-73.25,90.0,top
D2,D_TVS_Dual_AAC,SOT-23-3,168.1625,-65.4,90.0,bottom
D3,LED,LED_0402_1005Metric,182.65,-59.9,0.0,top
R1,10k,R_0402_1005Metric,184.815,-64.1,0.0,top
R2,62,R_0402_1005Metric,167.5,-58.575,90.0,bottom
R3,62,R_0402_1005Metric,167.475,-60.975,270.0,bottom
R4,5.1k,R_0402_1005Metric,176.45,-64.15,180.0,top
R5,5.1k,R_0402_1005Metric,173.0,-64.85,-90.0,top
R6,330,R_0402_1005Metric,184.25,-60.4,-90.0,top
R7,10k,R_0402_1005Metric,179.25,-72.975,0.0,top
R8,10k,R_0402_1005Metric,178.0,-65.35,0.0,top
U4,SW_SPDT,SW_JS102011SCQN,171.1,-70.4,-90.0,top
